,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
232,fairlop,1182,51.5961095431963,0.0905932794268205,POINT (0.09059327942682049 51.5961095431963),0.802626779
233,hainault,980,51.6028453270268,0.0941085503026948,POINT (0.0941085503026948 51.6028453270268),0.802626779
234,grange-hill,251,51.6134804256286,0.092272529661441,POINT (0.09227252966144101 51.6134804256286),2.5
235,green-park,43005,51.506760484493896,-0.14247757559748198,POINT (-0.142477575597482 51.5067604844939),0.135722041
236,north-acton,6577,51.5234324274314,-0.259729527847009,POINT (-0.259729527847009 51.5234324274314),0.616067028
237,hanger-lane,4000,51.5300720336304,-0.29299614555526504,POINT (-0.292996145555265 51.5300720336304),0.23054755
238,perivale,3123,51.536341821196096,-0.32307042198110697,POINT (-0.323070421981107 51.5363418211961),0.390828557
239,greenford,2721,51.541980070868995,-0.34587874010203995,POINT (-0.3458787401020399 51.54198007086899),0.0
240,hammersmith-met,8575,51.4934833521202,-0.224640157433783,POINT (-0.224640157433783 51.4934833521202),0.453221107
241,west-ealing,999,51.513625205209706,-0.319782954648735,POINT (-0.319782954648735 51.51362520520971),0.124672734
242,hanwell,728,51.5121859578482,-0.338051884444727,POINT (-0.338051884444727 51.5121859578482),0.222866057
243,southall,722,51.5059569116018,-0.378711189802266,POINT (-0.378711189802266 51.5059569116018),0.202702703
244,hayes-and-harlington,536,51.5030490745061,-0.420641903606725,POINT (-0.420641903606725 51.5030490745061),0.343377114
245,heathrow-terminals-1-2-3,2346,51.471289400668795,-0.452407225588878,POINT (-0.452407225588878 51.47128940066879),0.616067028
246,heathrow-terminal-5,695,51.470025425890505,-0.490647503171403,POINT (-0.490647503171403 51.4700254258905),0.616067028
247,high-street-kensington,8516,51.5007294453891,-0.19156605762672196,POINT (-0.191566057626722 51.5007294453891),0.0
248,hornchurch,837,51.5543551095852,0.218926996584347,POINT (0.218926996584347 51.5543551095852),0.403280011
